#,Label,Predict label,Comment
1,1,0,someon add facebook feed drive applied. think uber lyft need order driver them. includ social secur number background check. coupl dai email tell drive good citi country. hei avoid peopl sign elig resid states? otherwis steal people' ident
2,0,0,"thi app product multi-task phone. respond texts, manag phone notif see, easili insert photo phone document work computer. veri better."
3,0,0,great app useful
4,0,0,thi app amazing. some peopl bad rate idk why. It work perfectly. connect easi pie work text call notif (veri lose phone (which lot) help lazi grab phone) amaz app love it. here quock suggest devs. you add abik manag phone easili 6 star app.
5,0,0,it' great brows pc notification.
6,1,0,help tool connect secur microsoft os. don't third-parti apps.
7,1,0,it' wanted. the awesom galleri design encount good level secur privacy. it' entertain app 😋😋😋😎😎😎👌👌💪👍👍
8,0,0,"simple, useful."
9,0,0,jiji peopl busi comfort house. but secur measur place cc check mate hacker kidnappers.
10,0,0,"thi ap freez relaunch slow phone down. It drain batteri life leav running. update: thei fix ap. It bog phone relaunch kill minim it. edit: januari 2020 ap fixed. last updat 9 month ago? TD ameritrad asham produc garbag ap updat 9 month bug, add featur secur flaws."
11,0,0,us
12,1,0,phone issu since. icon disappear computer. can't print email phone either. chang anything. print function stop work sync devices. thi mess stuff up. tri uninstal app resolv issu phone me. hit uninstal ask update. side note...thi feel access phone privaci
13,0,0,for easi use.
14,0,0,easi
15,1,0,got all pic doc cell save hard drive. easi backup transfer. quick well.
16,1,1,"new app jump i'm read pop up' ad load make difficult read news. it' basic simpl app anymore. also, longer share stori simpl link. the app requir 3rd parti access contact obviou privaci reasons. new 9 i'll move app easi again."
17,0,0,"clunki clumsy. todai time it. after mildli pain success orders, todai enter credit card secur code, enter it. need reorder shortcut main page. when reorder something, ""start order"", unintuit clock bag. just checkout i'll adjust order to. bad user experiences."
18,0,0,"not function china. ""lite"" version escap bloat mainland version, straightli refus not. even vpn."
19,0,0,have lot bugs. longer collect coin plant check recommendations. pleas
20,1,0,"with 23 built tracker track life fine detail worst app privaci plai store. app automatically, recogn activ send data compani anytim wants."
21,1,0,"brilliant app. free place ad good messag app built interactoon buyer sellers. also, kyc dilig secur transact platform."
22,0,0,"like app far. come great connect phone laptop. So phone me, receiv call text pc."
23,0,0,amaz phone charg
24,0,1,us applic
